"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30"
"17";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"255";"13";"12633";"250000022152";"RUBENS WAGNER CALVO";"DR. CALVO";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"12";"PDT";"Partido Democrático Trabalhista";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";10081;"N"
"18";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"256";"13";"12300";"250000022153";"USHITARO KAMIA";"KAMIA";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"12";"PDT";"Partido Democrático Trabalhista";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";7028;"N"
"19";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"257";"13";"55123";"250000020825";"EDIR SALES";"EDIR SALES";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"55";"PSD";"Partido Social Democrático";"250000001252";"UNIÃO POR SÃO PAULO";"PMDB / PSD";12628;"N"
"20";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"258";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";5881;"N"
"21";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"259";"13";"45451";"250000004982";"AURÉLIO NOMURA";"AURÉLIO NOMURA";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"45";"PSDB";"Partido da Social Democracia Brasileira";"250000000274";"PSDB/PSB/PP/DEM";"PSDB / PSB / PP / DEM";6828;"N"
"22";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"260";"13";"14400";"250000019145";"FRANCISCO NUNES SOBRINHO";"NUNES PEIXEIRO";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"14";"PTB";"Partido Trabalhista Brasileiro";"250000001153";"PARTIDO ISOLADO";"PTB";8352;"N"
"23";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"280";"13";"55800";"250000020852";"RODRIGO HAYASHI GOULART";"RODRIGO GOULART";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"55";"PSD";"Partido Social Democrático";"250000001252";"UNIÃO POR SÃO PAULO";"PMDB / PSD";15184;"N"
"24";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"320";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";6639;"N"
"25";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"325";"13";"40123";"250000010992";"ELISEU GABRIEL DE PIERI";"ELISEU GABRIEL";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"40";"PSB";"Partido Socialista Brasileiro";"250000000274";"PSDB/PSB/PP/DEM";"PSDB / PSB / PP / DEM";12847;"N"
"26";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"326";"13";"13015";"250000022103";"VALDEMAR SILVA";"VAVA DO TRANSPORTE";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";4575;"N"
"27";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"327";"13";"45157";"250000004987";"CLAUDIO ROBERTO BARBOSA DE SOUZA";"CLAUDINHO DE SOUZA";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"3";"ELEITO POR MÉDIA";"45";"PSDB";"Partido da Social Democracia Brasileira";"250000000274";"PSDB/PSB/PP/DEM";"PSDB / PSB / PP / DEM";6494;"N"
"28";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"328";"13";"22678";"250000022120";"ISAC FELIX DOS SANTOS";"ISAC FELIX";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"3";"ELEITO POR MÉDIA";"22";"PR";"Partido da República";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";6873;"N"
"29";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"346";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";5135;"N"
"30";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"347";"13";"19123";"250000058391";"LUIZ PASCHOAL";"LUIZ PASCHOAL";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"19";"PTN";"Partido Trabalhista Nacional";"250000003879";"PARTIDO ISOLADO";"PTN";6051;"N"
"31";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"348";"13";"40096";"250000010999";"MASATAKA OTA";"OTA";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"40";"PSB";"Partido Socialista Brasileiro";"250000000274";"PSDB/PSB/PP/DEM";"PSDB / PSB / PP / DEM";3379;"N"
"32";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"349";"13";"43601";"250000011632";"ANIBAL DE FREITAS FILHO";"ANIBAL";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"43";"PV";"Partido Verde";"250000000695";"PARTIDO ISOLADO";"PV";4327;"N"
"33";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"350";"13";"55123";"250000020825";"EDIR SALES";"EDIR SALES";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"55";"PSD";"Partido Social Democrático";"250000001252";"UNIÃO POR SÃO PAULO";"PMDB / PSD";7213;"N"
